Ano,Regiao,Sub_Regiao,Pais,Mes,GeoCodUnidMaior,UnidMaior,GeoCodUnidMenor,UnidMenor,Especie,Categoria,TotalCasos,TotalNaoConfirmados
2004,América Latina,Área Andina,Venezuela,9,VEN-ZUL,Zulia,VEN-2312,Mara,Gatos,Gatos,1,0
2004,América Latina,Área Andina,Venezuela,9,VEN-ZUL,Zulia,VEN-2313,Maracaibo,Perros,Perros,1,0
2004,América Latina,Área Andina,Venezuela,9,VEN-ZUL,Zulia,VEN-2312,Mara,Perros,Perros,1,0
2004,América Latina,Área Andina,Venezuela,9,VEN-ZUL,Zulia,VEN-2310,Lagunillas,Perros,Perros,1,0
2004,América Latina,Área Andina,Venezuela,9,VEN-ZUL,Zulia,VEN-2311,Machiques De Perija,Perros,Perros,4,0
2004,América Latina,América Central,El Salvador,10,SLV-LUN,La Union,SLV-LUN-000006,La Union,Perros,Perros,1,0
2004,América Latina,América Central,El Salvador,10,SLV-LUN,La Union,SLV-LUN-000007,Lislique,Perros,Perros,1,0
2004,América Latina,América Central,El Salvador,10,SLV-SAN,Santa Ana,SLV-SAN-000007,Metapán,Gatos,Gatos,1,0
2004,América Latina,América Central,El Salvador,10,SLV-SSL,San Salvador,SLV-SSL-000015,San Salvador,Gatos,Gatos,1,0
2004,América Latina,México,México,9,MEX-CHP,Chiapas,MEX-CHP-000015,Pijijiapan,Bovinos,Bovinos,1,0
2004,América Latina,México,México,9,MEX-COL,Colima,MEX-COL-000001,Comala,Equinos,Otros ADIE,1,0
2004,América Latina,México,México,9,MEX-OAX,Oaxaca,MEX-OAX-000014,Pinotepa Nacional,Bovinos,Bovinos,1,0
2004,América Latina,México,México,8,MEX-HDL,Hidalgo,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,México,México,8,MEX-HDL,Hidalgo,...,Sin Informacion,Gatos,Gatos,1,0
2004,América Latina,Área Andina,Venezuela,9,VEN-ANZ,Anzoategui,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,Área Andina,Bolivia,9,BOL-CCH,Cochabamba,...,Sin Informacion,Perros,Perros,7,0
2004,América Latina,Área Andina,Bolivia,9,BOL-CCH,Cochabamba,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,Área Andina,Bolivia,9,BOL-LPA,La Paz,...,Sin Informacion,Perros,Perros,1,0
2004,América Latina,Área Andina,Bolivia,9,BOL-POT,Potosi,...,Sin Informacion,Perros,Perros,1,0
2004,América Latina,Área Andina,Bolivia,9,BOL-SCR,Santa Cruz,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,Área Andina,Bolivia,10,BOL-CCH,Cochabamba,...,Sin Informacion,Perros,Perros,10,0
2004,América Latina,Área Andina,Bolivia,10,BOL-LPA,La Paz,...,Sin Informacion,Perros,Perros,2,0
2004,América Latina,México,México,10,MEX-JLS,Jalisco,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,Área Andina,Bolivia,9,BOL-CCH,Cochabamba,...,Sin Informacion,Perros,Perros,8,0
2004,América Latina,Área Andina,Bolivia,9,BOL-CCH,Cochabamba,...,Sin Informacion,Gatos,Gatos,1,0
2004,América Latina,Área Andina,Bolivia,9,BOL-LPA,La Paz,...,Sin Informacion,Perros,Perros,2,0
2004,América Latina,Área Andina,Bolivia,9,BOL-LPA,La Paz,...,Sin Informacion,Gatos,Gatos,1,0
