Ano,Mes,Semana,Regiao,Sub_Regiao,Pais,UnidMaior,UnidMenor,Especie,Categoria,TotalCasos,TotalNaoConfirmados
1970,0,0,Latin America,Mexico,Mexico,NA,NA,Dogs,Dogs,4557,NA
1970,0,0,Latin America,Mexico,Mexico,NA,NA,Humans,Humans,65,NA
1970,0,0,Latin America,Mexico,Mexico,NA,NA,Other Domestic,Other Domestic,93,NA
1970,0,0,Latin America,Mexico,Mexico,NA,NA,Wildlife,Other Wild Lives,47,NA
1970,0,0,Latin America,South Cone,Argentina,NA,NA,Bovines,Bovines,221,NA
1970,0,0,Latin America,South Cone,Argentina,NA,NA,Cats,Cats,85,NA
1970,0,0,Latin America,South Cone,Argentina,NA,NA,Dogs,Dogs,671,NA
1970,0,0,Latin America,South Cone,Argentina,NA,NA,Humans,Humans,11,NA
1970,0,0,Latin America,South Cone,Argentina,NA,NA,Other Domestic,Other Domestic,23,NA
1970,0,0,Latin America,South Cone,Argentina,NA,NA,Wildlife,Other Wild Lives,11,NA
1970,0,0,Latin America,South Cone,Chile,NA,NA,Bovines,Bovines,2,NA
1970,0,0,Latin America,South Cone,Chile,NA,NA,Dogs,Dogs,12,NA
1970,0,0,Latin America,South Cone,Chile,NA,NA,Other Domestic,Other Domestic,1,NA
1970,0,0,Latin America,South Cone,Paraguay,NA,NA,Bovines,Bovines,182,NA
1970,0,0,Latin America,South Cone,Paraguay,NA,NA,Cats,Cats,3,NA
1970,0,0,Latin America,South Cone,Paraguay,NA,NA,Dogs,Dogs,160,NA
1970,0,0,Latin America,South Cone,Paraguay,NA,NA,Humans,Humans,3,NA
1970,0,0,Latin America,South Cone,Paraguay,NA,NA,Other Domestic,Other Domestic,1,NA
1970,0,0,North America,Canada,Canada,NA,NA,Bovines,Bovines,404,NA
1970,0,0,North America,Canada,Canada,NA,NA,Cats,Cats,88,NA
1970,0,0,North America,Canada,Canada,NA,NA,Dogs,Dogs,130,NA
1970,0,0,North America,Canada,Canada,NA,NA,Humans,Humans,1,NA
1970,0,0,North America,Canada,Canada,NA,NA,Other Domestic,Other Domestic,95,NA
1970,0,0,North America,Canada,Canada,NA,NA,Wildlife,Other Wild Lives,1000,NA
1970,0,0,North America,United States,United States,NA,NA,Bovines,Bovines,348,NA
1970,0,0,North America,United States,United States,NA,NA,Cats,Cats,168,NA
1970,0,0,North America,United States,United States,NA,NA,Dogs,Dogs,182,NA
1970,0,0,North America,United States,United States,NA,NA,Humans,Humans,2,NA
1970,0,0,North America,United States,United States,NA,NA,Other Domestic,Other Domestic,64,NA
1970,0,0,North America,United States,United States,NA,NA,Wildlife,Other Wild Lives,2453,NA
1971,0,0,Caribbean,Caribbean,Grenada,NA,NA,Bovines,Bovines,7,NA
1971,0,0,Caribbean,Caribbean,Grenada,NA,NA,Cats,Cats,1,NA
1971,0,0,Caribbean,Caribbean,Grenada,NA,NA,Dogs,Dogs,3,NA
1971,0,0,Caribbean,Caribbean,Grenada,NA,NA,Other Domestic,Other Domestic,8,NA
1971,0,0,Caribbean,Caribbean,Grenada,NA,NA,Wildlife,Other Wild Lives,92,NA
1971,0,0,Caribbean,Caribbean,Suriname,NA,NA,Bovines,Bovines,1,NA
1971,0,0,Caribbean,Caribbean,Trinidad and Tobago,NA,NA,Bovines,Bovines,5,NA
1971,0,0,Caribbean,Caribbean,Trinidad and Tobago,NA,NA,Dogs,Dogs,3,NA
1971,0,0,Caribbean,Caribbean,Trinidad and Tobago,NA,NA,Wildlife,Other Wild Lives,1,NA
1971,0,0,Latin America,Andean Area,Bolivia,NA,NA,Cats,Cats,1,NA
1971,0,0,Latin America,Andean Area,Bolivia,NA,NA,Dogs,Dogs,247,NA
1971,0,0,Latin America,Andean Area,Colombia,NA,NA,Bovines,Bovines,136,NA
1971,0,0,Latin America,Andean Area,Colombia,NA,NA,Cats,Cats,556,NA
1971,0,0,Latin America,Andean Area,Colombia,NA,NA,Dogs,Dogs,9847,NA
1971,0,0,Latin America,Andean Area,Colombia,NA,NA,Humans,Humans,34,NA
1971,0,0,Latin America,Andean Area,Colombia,NA,NA,Other Domestic,Other Domestic,47,NA
1971,0,0,Latin America,Andean Area,Colombia,NA,NA,Wildlife,Other Wild Lives,142,NA
1971,0,0,Latin America,Andean Area,Ecuador,NA,NA,Bovines,Bovines,35,NA
1971,0,0,Latin America,Andean Area,Ecuador,NA,NA,Cats,Cats,59,NA
1971,0,0,Latin America,Andean Area,Ecuador,NA,NA,Dogs,Dogs,1215,NA
1971,0,0,Latin America,Andean Area,Ecuador,NA,NA,Humans,Humans,20,NA
1971,0,0,Latin America,Andean Area,Ecuador,NA,NA,Other Domestic,Other Domestic,1,NA
1971,0,0,Latin America,Andean Area,Ecuador,NA,NA,Wildlife,Other Wild Lives,7,NA
1971,0,0,Latin America,Andean Area,Peru,NA,NA,Bovines,Bovines,5,NA
1971,0,0,Latin America,Andean Area,Peru,NA,NA,Cats,Cats,33,NA
1971,0,0,Latin America,Andean Area,Peru,NA,NA,Dogs,Dogs,646,NA
1971,0,0,Latin America,Andean Area,Peru,NA,NA,Humans,Humans,12,NA
1971,0,0,Latin America,Andean Area,Peru,NA,NA,Other Domestic,Other Domestic,8,NA
1971,0,0,Latin America,Andean Area,Peru,NA,NA,Wildlife,Other Wild Lives,3,NA
1971,0,0,Latin America,Andean Area,Venezuela,NA,NA,Bovines,Bovines,656,NA
1971,0,0,Latin America,Andean Area,Venezuela,NA,NA,Cats,Cats,30,NA
1971,0,0,Latin America,Andean Area,Venezuela,NA,NA,Dogs,Dogs,371,NA
1971,0,0,Latin America,Andean Area,Venezuela,NA,NA,Humans,Humans,7,NA
1971,0,0,Latin America,Andean Area,Venezuela,NA,NA,Other Domestic,Other Domestic,6,NA
1971,0,0,Latin America,Andean Area,Venezuela,NA,NA,Wildlife,Other Wild Lives,2,NA
1971,0,0,Latin America,Brazil,Brazil,NA,NA,Bovines,Bovines,1290,NA
1971,0,0,Latin America,Brazil,Brazil,NA,NA,Cats,Cats,26,NA
1971,0,0,Latin America,Brazil,Brazil,NA,NA,Dogs,Dogs,455,NA
1971,0,0,Latin America,Brazil,Brazil,NA,NA,Humans,Humans,116,NA
1971,0,0,Latin America,Brazil,Brazil,NA,NA,Other Domestic,Other Domestic,58,NA
1971,0,0,Latin America,Brazil,Brazil,NA,NA,Wildlife,Other Wild Lives,5,NA
1971,0,0,Latin America,Central America,Belize,NA,NA,Bovines,Bovines,2,NA
1971,0,0,Latin America,Central America,Belize,NA,NA,Dogs,Dogs,5,NA
1971,0,0,Latin America,Central America,Costa Rica,NA,NA,Dogs,Dogs,7,NA
1971,0,0,Latin America,Central America,Costa Rica,NA,NA,Other Domestic,Other Domestic,1,NA
1971,0,0,Latin America,Central America,Costa Rica,NA,NA,Wildlife,Other Wild Lives,2,NA
1971,0,0,Latin America,Central America,El Salvador,NA,NA,Bovines,Bovines,47,NA
1971,0,0,Latin America,Central America,El Salvador,NA,NA,Cats,Cats,5,NA
1971,0,0,Latin America,Central America,El Salvador,NA,NA,Dogs,Dogs,48,NA
1971,0,0,Latin America,Central America,El Salvador,NA,NA,Humans,Humans,5,NA
1971,0,0,Latin America,Central America,El Salvador,NA,NA,Wildlife,Other Wild Lives,5,NA
1971,0,0,Latin America,Central America,Guatemala,NA,NA,Bovines,Bovines,14,NA
1971,0,0,Latin America,Central America,Guatemala,NA,NA,Cats,Cats,7,NA
1971,0,0,Latin America,Central America,Guatemala,NA,NA,Dogs,Dogs,137,NA
1971,0,0,Latin America,Central America,Guatemala,NA,NA,Other Domestic,Other Domestic,1,NA
1971,0,0,Latin America,Central America,Guatemala,NA,NA,Wildlife,Other Wild Lives,2,NA
1971,0,0,Latin America,Central America,Honduras,NA,NA,Bovines,Bovines,27,NA
